class,real_count,synthetic_count,real_prop,synthetic_prop,abs_prop_diff
1,245,315,0.5420353982300885,0.6969026548672567,0.15486725663716816
2,44,19,0.09734513274336283,0.0420353982300885,0.05530973451327433
3,15,14,0.033185840707964605,0.030973451327433628,0.002212389380530977
4,15,6,0.033185840707964605,0.01327433628318584,0.019911504424778764
5,13,10,0.028761061946902654,0.022123893805309734,0.00663716814159292
6,25,12,0.05530973451327434,0.02654867256637168,0.028761061946902658
7,3,5,0.00663716814159292,0.011061946902654867,0.004424778761061947
8,2,8,0.004424778761061947,0.017699115044247787,0.01327433628318584
9,9,10,0.01991150442477876,0.022123893805309734,0.0022123893805309734
10,50,31,0.11061946902654868,0.06858407079646017,0.042035398230088505
11,0,0,0.0,0.0,0.0
12,0,0,0.0,0.0,0.0
13,0,0,0.0,0.0,0.0
14,4,6,0.008849557522123894,0.01327433628318584,0.004424778761061947
15,5,8,0.011061946902654867,0.017699115044247787,0.00663716814159292
16,22,8,0.048672566371681415,0.017699115044247787,0.030973451327433628
