feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0,7.0,0.0,7.0,17.0,7.0,10.0,72.0,66.0,6.0,78.49000000000001,77.45000000000005,1.0399999999999636
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,122.03999999999999,106.02,16.019999999999996,150.0,141.0,9.0,178.0,171.0,7.0,188.98000000000002,177.49,11.490000000000009
3,19.53,6.0,13.530000000000001,45.0,35.0,10.0,94.0,87.0,7.0,105.0,95.98000000000002,9.019999999999982
4,67.51,65.0,2.510000000000005,72.0,70.55,1.4500000000000028,110.44999999999999,121.0,10.550000000000011,149.94000000000005,173.49,23.549999999999955
5,0.0,0.0,0.0,111.2,87.0,24.200000000000003,201.45,174.45,27.0,275.1700000000003,206.47000000000003,68.70000000000027
6,262.08,232.0,30.079999999999984,321.0,277.55,43.44999999999999,420.45,394.9,25.55000000000001,448.98,422.98,26.0
7,117.0,108.0,9.0,130.0,108.0,22.0,245.89999999999998,234.0,11.899999999999977,287.4100000000001,287.3900000000001,0.01999999999998181
8,0.0,0.0,0.0,59.1,42.0,17.1,121.44999999999999,102.44999999999999,19.0,176.47000000000003,123.43000000000006,53.039999999999964
9,-78.88,-32.92,45.959999999999994,-46.9,1.0,47.9,91.0,143.34999999999997,52.349999999999966,122.45000000000005,169.0,46.549999999999955
10,-164.49,-156.98,7.510000000000019,-78.69999999999999,-31.249999999999996,47.44999999999999,126.44999999999999,149.89999999999998,23.44999999999999,172.98000000000002,179.0,6.019999999999982
11,-57.45,-95.33,37.879999999999995,-4.449999999999999,-18.349999999999998,13.899999999999999,76.44999999999999,68.44999999999999,8.0,103.47000000000003,77.49000000000001,25.980000000000018
12,-65.49,-135.0,69.51,-20.45,-84.8,64.35,84.44999999999999,80.44999999999999,4.0,120.43000000000006,97.49000000000001,22.940000000000055
13,-164.98,-50.5,114.47999999999999,-118.45,-50.5,67.95,96.39999999999986,-16.55000000000001,112.94999999999987,169.0,6.600000000000364,162.39999999999964
14,50.0,44.0,6.0,56.0,51.0,5.0,98.0,109.0,11.0,120.98000000000002,123.98000000000002,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,5.0,36.0,35.88000000000011,0.11999999999989086
16,20.0,39.0,19.0,36.0,45.0,9.0,80.0,114.0,34.0,125.96000000000004,156.0,30.039999999999964
17,0.0,0.0,0.0,0.0,0.0,0.0,52.0,43.0,9.0,69.96000000000004,52.0,17.960000000000036
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,24.0,24.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,12.0,19.0,7.0,20.0,23.0,3.0,44.0,58.44999999999999,14.449999999999989,60.0,89.92000000000007,29.920000000000073
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900000000000091,1.0,0.5099999999999909
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900000000000091,1.0,0.5099999999999909
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
27,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.44999999999999,1.4499999999999886,40.0,76.0,36.0
28,20.0,31.509999999999998,11.509999999999998,32.0,38.55,6.549999999999997,84.0,114.0,30.0,108.0,132.0,24.0
29,0.0,0.0,0.0,0.0,0.0,0.0,56.0,43.0,13.0,73.96000000000004,57.47000000000003,16.49000000000001
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,36.0,16.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,56.0,56.0
32,12.0,0.0,12.0,20.0,0.0,20.0,48.0,42.0,6.0,60.0,51.98000000000002,8.019999999999982
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,61.799999999999955,90.44999999999999,28.650000000000034,84.0,92.0,8.0
40,0.0,0.0,0.0,0.0,15.55,15.55,80.0,107.0,27.0,93.96000000000004,116.0,22.039999999999964
41,0.0,0.0,0.0,0.0,0.0,0.0,68.0,74.44999999999999,6.449999999999989,76.0,90.0,14.0
42,0.0,0.0,0.0,0.0,0.0,0.0,17.799999999999955,1.4499999999999886,16.349999999999966,52.0,57.430000000000064,5.430000000000064
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,11.760000000000218,44.0,32.23999999999978
44,0.0,0.0,0.0,0.0,0.0,0.0,60.0,52.0,8.0,73.96000000000004,66.98000000000002,6.980000000000018
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900000000000091,1.0,0.5099999999999909
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
51,0.0,0.0,0.0,0.0,3.0,3.0,80.0,98.0,18.0,116.0,136.0,20.0
52,0.0,0.0,0.0,0.0,0.0,0.0,48.0,59.0,11.0,61.960000000000036,79.49000000000001,17.529999999999973
53,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,16.0,68.0,60.0,8.0
54,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,30.0,48.0,66.96000000000004,18.960000000000036
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0
56,0.0,0.0,0.0,0.0,0.0,0.0,72.0,68.0,4.0,84.0,82.0,2.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900000000000091,1.0,0.5099999999999909
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
63,0.0,0.0,0.0,0.0,0.0,0.0,52.0,65.0,13.0,68.0,79.49000000000001,11.490000000000009
64,0.0,0.5099999999999998,0.5099999999999998,0.0,20.55,20.55,80.0,98.44999999999999,18.44999999999999,117.96000000000004,145.45000000000005,27.49000000000001
65,0.0,0.0,0.0,0.0,0.0,0.0,60.0,65.44999999999999,5.449999999999989,73.96000000000004,78.47000000000003,4.509999999999991
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,33.960000000000036,44.0,10.039999999999964
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
