feature,ks_statistic,p_value
54,0.23342304869097139,0.04988043995707961
0,0.030584781012967948,0.9999999999970367
172,0.09909469048201615,0.8705947439564106
95,0.2021042329336922,0.12339359402900994
138,0.09077563004648886,0.9223657334408606
163,0.10227550770736482,0.8449844348596394
386,0.12038169806704184,0.6823227419316062
185,0.15855150477122584,0.34942109617548356
102,0.16662588695864938,0.29260513217777706
96,0.25177391729875215,0.027190402551674812
34,0.13677514068999266,0.528193015933026
70,0.1487643748470761,0.42306823325791454
66,0.1370198189380964,0.525265522333846
23,0.13555174944947393,0.5383699559940687
75,0.12551994127722046,0.635061797887476
0.1,0.2285294837288965,0.05815933425246543
40,0.1365304624418889,0.5312144206208027
80,0.14509420112551993,0.4555480191785064
0.10,0.014925373134328358,1.0
0.11,0.0,1.0
24,0.1414240274039638,0.4854419182733055
0.12,0.0,1.0
0.13,0.028382676780034255,0.9999999999999767
0.14,0.0,1.0
0.15,0.0,1.0
0.16,0.0014680694886224615,1.0
0.17,0.028382676780034255,0.9999999999999767
20,0.11279667237582579,0.7542155821616423
56,0.14729630535845364,0.43480995953758583
52,0.20797651088818203,0.10538951461273496
0.18,0.014925373134328358,1.0
0.19,0.0,1.0
40.1,0.11915830682652312,0.6934168743649922
0.20,0.014925373134328358,1.0
0.21,0.011989234157083434,1.0
0.22,0.014925373134328358,1.0
0.23,0.013457303645705897,1.0
0.24,0.0,1.0
0.25,0.011989234157083434,1.0
28,0.060435527281624664,0.998824734922356
116,0.22485931000734036,0.06404227060140451
0.26,0.2884756545143137,0.007426859467227405
0.27,0.04183998042574015,0.999999571725372
0.28,0.0,1.0
52.1,0.1756789821384879,0.23742576765692697
0.29,0.014925373134328358,1.0
0.30,0.038659163200391485,0.9999999633699348
0.31,0.0,1.0
0.32,0.014925373134328358,1.0
0.33,0.014925373134328358,1.0
0.34,0.0,1.0
52.2,0.060435527281624664,0.998824734922356
64,0.23929532664546121,0.041667141356601586
0.35,0.10912649865426964,0.7881498921583279
0.36,0.07315879618301933,0.9874742817000065
0.37,0.0,1.0
88,0.24076339613408368,0.039782977366407665
0.38,0.0,1.0
0.39,0.013457303645705897,1.0
0.40,0.014925373134328358,1.0
0.41,0.0,1.0
0.42,0.014925373134328358,1.0
0.43,0.011989234157083434,1.0
0.44,0.0628823097626621,0.9980795814250762
36,0.20479569366283337,0.11526595464170439
92,0.17494494739417665,0.24383051255114654
0.45,0.014925373134328358,1.0
0.46,0.0,1.0
24.1,0.3202838267678003,0.0019693560306085272
0.47,0.0,1.0
0.48,0.029850746268656716,0.999999999999411
0.49,0.0,1.0
0.50,0.0,1.0
0.51,0.014925373134328358,1.0
0.52,0.0,1.0
0.53,0.062148275018350865,0.9982935361611619
128,0.21433814533887938,0.08722016080722712
0.54,0.3227306092488378,0.0018363587886976549
0.55,0.08955223880597014,0.9293394550812164
0.56,0.029850746268656716,0.999999999999411
24.2,0.1712747736726205,0.26317643026490994
0.57,0.029850746268656716,0.999999999999411
1,0.019329581600195742,1.0
0.58,0.0,1.0
0.59,0.0,1.0
0.60,0.0,1.0
0.61,0.0014680694886224615,1.0
0.62,0.06435037925128456,0.9974560154854246
24.3,0.18008319060435526,0.21427127759858583
36.1,0.18448739907022266,0.19302464573458156
76,0.08661609982872523,0.9454777322288905
0.63,0.029850746268656716,0.999999999999411
100,0.17372155615365795,0.2502194950040838
0.64,0.014925373134328358,1.0
0.65,0.014925373134328358,1.0
0.66,0.014925373134328358,1.0
0.67,0.014925373134328358,1.0
0.68,0.002936138977244923,1.0
0.69,0.013457303645705897,1.0
0.70,0.06728651822852949,0.995457926219252
40.2,0.21262539760215318,0.09213695728749846
28.1,0.17714705162711036,0.2293988023720551
60,0.029850746268656716,0.999999999999411
0.71,0.0,1.0
96.1,0.21996574504526548,0.07489758091264309
0.72,0.04477611940298507,0.9999971029322967
0.73,0.013457303645705897,1.0
0.74,0.013457303645705897,1.0
0.75,0.01786151211157328,1.0
0.76,0.029850746268656716,0.999999999999411
0.77,0.013457303645705897,1.0
0.78,0.029850746268656716,0.999999999999411
48,0.21678492781991682,0.08242450819132752
20.1,0.19794470271592857,0.13685025871854134
56.1,0.014925373134328358,1.0
24.4,0.01639344262295082,1.0
32,0.14900905309517984,0.4204877632646872
0.79,0.043308049914362615,0.999998876236275
0.80,0.014925373134328358,1.0
0.81,0.014925373134328358,1.0
0.82,0.0,1.0
0.83,0.04477611940298507,0.9999971029322967
0.84,0.0,1.0
