feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
54,7.0,7.0010182,0.001018199999999858,11.600000000000001,14.913427,3.313426999999999,68.69999999999999,72.284195,3.5841950000000082,73.68,73.7856744,0.10567439999999806
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
172,124.28,123.8,0.480000000000004,134.5,146.0,11.5,176.0,176.0,0.0,179.36,179.6,0.23999999999998067
95,21.66,21.3086724,0.3513276000000012,30.0,25.856836,4.143163999999999,94.69999999999999,149.93286,55.23286000000002,141.68000000000018,170.985348,29.30534799999981
138,65.56,72.1365004,6.5765004000000005,73.3,72.28523,1.0147699999999986,159.99999999999994,184.97581,24.975810000000052,186.02,187.941936,1.921935999999988
163,67.98,30.4674296,37.5125704,111.7,57.752026,53.947974,196.79999999999998,241.95943,45.159430000000015,234.6000000000003,291.026028,56.42602799999969
386,252.22,241.91728,10.302719999999994,295.4,250.16978,45.230219999999974,438.0,450.16537,12.165369999999996,475.34000000000015,472.300392,3.0396080000001575
185,128.94,124.14521400000001,4.794785999999988,135.3,128.16809,7.131910000000005,270.29999999999995,280.34027,10.040270000000021,309.8400000000001,303.03250999999995,6.8074900000001435
102,40.260000000000005,5.8390082,34.4209918,63.6,22.004353,41.595647,124.29999999999995,123.885025,0.4149749999999557,143.0,142.510762,0.4892380000000003
96,-114.58,-164.808824,50.22882399999999,-62.7,-96.771866,34.071866,97.19999999999993,153.16725,55.967250000000064,137.8400000000001,154.76219,16.922189999999915
34,-172.68,-171.288068,1.391931999999997,-162.1,-167.172,5.072000000000003,174.1,175.348,1.2480000000000189,179.0,178.805398,0.19460200000000327
70,-57.04,-60.1479504,3.1079504,-18.699999999999996,-54.9985,36.298500000000004,78.0,152.86807,74.86806999999999,139.0400000000002,172.385978,33.3459779999998
66,-98.7,-134.602084,35.90208399999999,-66.7,-117.33567,50.63566999999999,95.29999999999993,156.64255,61.342550000000074,152.14000000000007,165.438052,13.298051999999927
23,-172.4,-178.997828,6.597827999999993,-166.7,-177.68668,10.986680000000007,173.2,170.58739,2.6126099999999894,177.34,174.766152,2.573847999999998
75,55.66,55.000018000000004,0.6599819999999923,58.0,59.837914,1.8379139999999978,96.69999999999999,109.45267,12.752670000000009,109.46000000000006,117.17049199999998,7.710491999999917
0.1,0.0,0.0,0.0,0.0,0.0,0.0,26.799999999999983,34.27673,7.476730000000018,33.360000000000014,35.9883,2.6282999999999888
40,18.64,16.238242,2.401758000000001,36.0,19.539537,16.460463,133.59999999999997,140.34154,6.741540000000043,145.44000000000005,154.13036,8.690359999999941
80,0.0,0.0,0.0,0.0,0.0,0.0,52.0,79.101494,27.101494000000002,70.72000000000003,79.977524,9.257523999999975
0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.080000000000041,0.0,4.080000000000041
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,14.64,12.7297008,1.9102992000000008,20.0,14.873282,5.126718,65.59999999999997,89.779724,24.179724000000036,89.44000000000005,95.24279800000001,5.802797999999953
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3999999999999986,0.6000000000000014
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
