feature,ks_statistic,p_value
Age,0.045228628230616304,0.0005312657722935972
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.05541749502982107,8.548542977896959e-06
Tumor Size,0.14065606361829025,4.127522462116207e-35
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.15009940357852883,6.07615801825562e-40
Reginol Node Positive,0.1761928429423459,5.905405597054188e-55
Survival Months,0.05666003976143141,4.878585119048779e-06
Status,0.0,1.0
