feature,ks_statistic,p_value
Age,0.15283300198807157,2.1154832357074363e-41
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.10238568588469185,8.940753499599136e-19
Tumor Size,0.1550695825049702,1.2954874647993557e-42
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.11580516898608349,6.5238153777263446e-24
Reginol Node Positive,0.19135188866799205,8.383609064806133e-65
Survival Months,0.12301192842942346,6.203787376275763e-27
Status,0.0,1.0
