feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.0775347912524851,0.02236580516898609
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.013667992047713717,0.004224652087475149
Reginol Node Positive,0.08548707753479125,0.18389662027833,0.09840954274353876
Survival Months,0.0044731610337972166,0.001242544731610338,0.0032306163021868783
Status,0.0,0.0,0.0
