feature,ks_statistic,p_value
Age,0.08250497017892644,2.4713684194384137e-12
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.106610337972167,2.5286753411430235e-20
Tumor Size,0.24527833001988072,1.2469414505189808e-106
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.04895626242544732,0.0001292330760449551
Reginol Node Positive,0.1394135188866799,1.689657082896609e-34
Survival Months,0.16003976143141152,2.2530990535490053e-45
Status,0.0,1.0
