feature,ks_statistic,p_value
Age,0.08846918489065607,4.043148677145337e-14
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.05815109343936382,2.4481092441069125e-06
Tumor Size,0.09865805168986083,1.842181038557505e-17
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.11158051689860835,3.16499365440574e-22
Reginol Node Positive,0.11381709741550695,4.127853924686683e-23
Survival Months,0.061381709741550695,5.167106408958483e-07
Status,0.0,1.0
