feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.050944333996023855,0.0042246520874751475
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.028330019880715707,0.01043737574552684
Reginol Node Positive,0.08548707753479125,0.09443339960238568,0.008946322067594437
Survival Months,0.0044731610337972166,0.02509940357852883,0.02062624254473161
Status,0.0,0.0,0.0
