feature,ks_statistic,p_value
Age,0.05765407554671968,3.0868674976453355e-06
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.1319582504970179,6.094901787765058e-31
Tumor Size,0.18737574552683897,3.8629173737954157e-62
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.028578528827037774,0.07475982705270838
Reginol Node Positive,0.2268886679920477,3.634718835773423e-91
Survival Months,0.052186878727634195,3.466729477540682e-05
Status,0.0,1.0
