feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.023111332007952286,0.03205765407554671
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.025596421471172963,0.007703777335984097
Reginol Node Positive,0.08548707753479125,0.11108349900596422,0.02559642147117297
Survival Months,0.0044731610337972166,0.0044731610337972166,0.0
Status,0.0,0.0,0.0
