feature,ks_statistic,p_value
Age,0.04746520874751491,0.00023056280533707176
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.05864811133200795,1.9376590891887014e-06
Tumor Size,0.10313121272365805,4.816090970930778e-19
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.04647117296222664,0.0003357942885603259
Reginol Node Positive,0.10859840954274354,4.491268062376207e-21
Survival Months,0.06312127236580517,2.159273965401859e-07
Status,0.0,1.0
