feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.06766086716376692,0.012491881080267914
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.0196078431372549,0.0017151990020660354
Reginol Node Positive,0.08548707753479125,0.08782104391052195,0.0023339663757307033
Survival Months,0.0044731610337972166,0.006628003314001657,0.00215484228020444
Status,0.0,0.0,0.0
