feature,ks_statistic,p_value
Age,0.02136339653325559,0.3427532717998957
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.0009994575490992186,1.0
Tumor Size,0.03201942720918345,0.03901558458139029
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.01943915078982059,0.45965300020615196
Reginol Node Positive,0.02334638948962947,0.24482285862675848
Survival Months,0.020061418289489794,0.41961499860963475
Status,0.0,1.0
