feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
Age,33.0,33.1377658,0.13776579999999683,39.0,38.42346,0.5765400000000014,68.0,68.0,0.0,69.0,69.0,0.0
Race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
differentiate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grade,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
Tumor Size,4.0,3.49804824,0.5019517599999999,9.0,9.0,0.0,75.0,79.776306,4.776306000000005,102.53999999999996,109.7856828,7.24568280000004
Estrogen Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional Node Examined,1.0,1.0,0.0,2.0,2.0,0.0,28.0,27.753098,0.24690199999999862,38.76999999999998,39.15403560000004,0.3840356000000611
Reginol Node Positive,1.0,1.0,0.0,1.0,1.0,0.0,15.0,14.586737,0.4132630000000006,26.0,24.313227600000033,1.6867723999999669
Survival Months,8.0,7.45423624,0.5457637599999998,26.150000000000006,26.337118,0.18711799999999457,103.0,103.63335,0.633349999999993,107.0,106.87960600000001,0.12039399999999034
Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
