feature,ks_statistic,p_value
Age,0.023099459031505527,0.25575628741057976
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.05005955704601444,0.00013545271906153313
Tumor Size,0.040028264546935456,0.004291401999309907
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.07141753181545908,6.659800246591694e-09
Reginol Node Positive,0.022776967029636597,0.2705672907706661
Survival Months,0.022594205548262483,0.27922822210668025
Status,0.0,1.0
