feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
Age,33.0,33.133405599999996,0.13340559999999613,39.0,38.0,1.0,68.0,67.0,1.0,69.0,68.97098120000001,0.029018799999988687
Race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
differentiate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grade,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
Tumor Size,4.0,5.1880572,1.1880572000000003,9.0,9.0,0.0,75.0,78.659134,3.6591339999999946,102.53999999999996,97.04103920000003,5.498960799999935
Estrogen Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional Node Examined,1.0,1.0,0.0,2.0,2.0,0.0,28.0,27.263418,0.7365819999999985,38.76999999999998,36.41871320000002,2.3512867999999614
Reginol Node Positive,1.0,1.0,0.0,1.0,1.0,0.0,15.0,13.922411,1.0775889999999997,26.0,19.283144400000015,6.716855599999985
Survival Months,8.0,5.94871892,2.05128108,26.150000000000006,26.355549,0.2055489999999942,103.0,103.349266,0.3492660000000001,107.0,106.7182808,0.2817191999999977
Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
