feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.07180336923501796,0.016634383151518953
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.01436067384700359,0.0035319702881852766
Reginol Node Positive,0.08548707753479125,0.08505937586302126,0.0004277016717699894
Survival Months,0.0044731610337972166,0.009113504556752278,0.004640343522955061
Status,0.0,0.0,0.0
