feature,ks_statistic,p_value
0,0.07265058735183166,1.561136693667507e-85
1,0.04703073210055142,4.515143487502377e-36
2,0.003819652043314241,0.9486825855255909
3,0.12222952625541522,7.942164168110129e-242
4,0.029766811862141807,1.0530973548777509e-14
5,0.027979362072839464,4.848369143289269e-13
6,0.04011232098580497,2.3578518903335106e-26
7,0.11559463676822465,2.958000745439544e-216
8,0.13365719703091677,2.9128356324428745e-289
9,0.08102064246041288,2.664602220634592e-106
10,0.02810343817629235,3.745210520584149e-13
11,0.04500270004454414,4.607084267499393e-33
12,0.07497341602248497,4.5495951999217156e-91
13,0.23963616471079818,0.0
14,0.2832336716190807,0.0
15,0.4577223000540048,0.0
16,0.176926916678821,0.0
17,0.010740427544829956,0.027569576144838348
18,0.05052783259290211,1.4268384292928759e-41
19,0.09717070691143603,8.26988495200036e-153
20,0.16252860915874662,0.0
