feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.03733034795668576,0.05565,0.01831965204331424
3,0.0388164663494704,0.08225,0.043433533650529606
4,0.0,0.0,0.0
5,0.04057063792716049,0.037,0.0035706379271604888
6,0.157587679014195,0.18175,0.024162320985805008
7,0.24345536323177533,0.2598,0.016344636768224646
8,0.0,0.0,0.0
9,0.18857935753958713,0.17735,0.01122935753958712
10,0.056196561823707726,0.0954,0.03920343817629227
11,0.04894729995545587,0.0899,0.04095270004454413
12,0.08417658397751507,0.21225,0.12807341602248493
13,0.04762280186533481,0.0763,0.028677198134665197
14,0.14273043704495014,0.3743,0.23156956295504988
15,0.16141926277490234,0.23,0.06858073722509767
16,0.16822308332117897,0.2645,0.09627691667882105
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
