feature,ks_statistic,p_value
HighBP,0.009169031851151144,1.093348419251451e-09
HighChol,0.03362898139388204,5.090843498385503e-125
CholCheck,0.008061337117628513,1.3851499846856673e-07
BMI,0.022173604541154218,1.358276556487065e-54
Smoker,0.019745348470514013,2.225219784964901e-43
Stroke,0.008455534531693454,2.6556949026608638e-08
Diabetes,0.009413434247871333,3.4546361018178537e-10
PhysActivity,0.013379060233364853,3.805009958028826e-20
Fruits,0.01888599810785241,1.0112112528947957e-39
Veggies,0.013607694733522552,7.953975871812554e-21
HvyAlcoholConsump,0.01545648060548721,9.564747816280786e-27
AnyHealthcare,0.001265373699148531,0.9872035798382565
NoDocbcCost,0.011005991800693837,9.03051479249191e-14
GenHlth,0.03057395143487862,2.0706124436765362e-103
MentHlth,0.053177231157363614,5.690783189815e-312
PhysHlth,0.11352491327656888,0.0
DiffWalk,0.004891989908546224,0.004617913458540461
Sex,0.00686297697887106,1.293859646444781e-05
Age,0.03684169031851148,5.803570971622682e-150
Education,0.03418479974771371,3.5824279347887313e-129
Income,0.016930778934090174,5.249719436202389e-32
