feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.04895,0.011619504888047937
BMI,0.03881661936297698,0.0798,0.04098338063702302
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.0298,0.010770797855566068
Diabetes,0.15758830022075054,0.15255,0.005038300220750552
PhysActivity,0.2434563229265216,0.36365,0.12019367707347836
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.3014,0.112819899085462
HvyAlcoholConsump,0.05619678334910123,0.0785,0.022303216650898773
AnyHealthcare,0.04894749290444655,0.07105,0.022102507095553454
NoDocbcCost,0.08417691579943236,0.0926,0.008423084200567643
GenHlth,0.04762298959318827,0.0215,0.02612298959318827
MentHlth,0.14273099968464206,0.1588,0.016069000315357934
PhysHlth,0.161419899085462,0.17385,0.012430100914538
DiffWalk,0.16822374645222327,0.20815,0.039926253547776736
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
