feature,ks_statistic,p_value
HighBP,0.05214889624724062,3.2415371405027923e-44
HighChol,0.04437906023336491,3.8687138944512737e-32
CholCheck,0.018430495111952064,6.781965717163566e-06
BMI,0.13157767265846732,3.367315757043845e-279
Smoker,0.008468558814254235,0.13998505396009595
Stroke,0.02382920214443396,1.4376601358444187e-09
Diabetes,0.06918830022075051,1.6560072063442816e-77
PhysActivity,0.008093677073478384,0.17616126572308852
Fruits,0.12185575528224535,1.588684522024028e-239
Veggies,0.05516989908546199,1.9508480435083966e-49
HvyAlcoholConsump,0.059803216650898716,5.1573305461715565e-58
AnyHealthcare,0.01495250709555345,0.000502252606765021
NoDocbcCost,0.11267308420056765,7.567191970393371e-205
GenHlth,0.17778431094292024,0.0
MentHlth,0.5200760170293283,0.0
PhysHlth,0.37567084515925575,0.0
DiffWalk,0.06247625354777675,2.813664060905012e-63
Sex,0.09439216335540845,6.785902020356625e-144
Age,0.10140862503941972,5.12658083332464e-166
Education,0.11442237464522231,3.035339966704896e-211
Income,0.1277273099968464,4.01880738248233e-263
