feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
HighBP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
HighChol,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CholCheck,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
BMI,18.0,18.0,0.0,20.0,20.0,0.0,40.0,40.0,0.0,50.0,49.0,1.0
Smoker,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Stroke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Diabetes,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
PhysActivity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Fruits,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Veggies,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
HvyAlcoholConsump,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
AnyHealthcare,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
NoDocbcCost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
GenHlth,1.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,1.0,5.0,5.0,0.0
MentHlth,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,2.0,30.0,30.0,0.0
PhysHlth,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,30.0,0.0
DiffWalk,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Sex,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Age,1.0,1.0,0.0,2.0,2.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0
Education,2.0,2.0,0.0,3.0,3.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0
Income,1.0,1.0,0.0,2.0,2.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0
