feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.02885,0.008480495111952063
BMI,0.03881661936297698,0.07125,0.032433380637023015
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.09655,0.05597920214443393
Diabetes,0.15758830022075054,0.19825,0.040661699779249466
PhysActivity,0.2434563229265216,0.3085,0.06504367707347838
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.2089,0.020319899085462
HvyAlcoholConsump,0.05619678334910123,0.04915,0.007046783349101228
AnyHealthcare,0.04894749290444655,0.0747,0.025752507095553455
NoDocbcCost,0.08417691579943236,0.145,0.06082308420056763
GenHlth,0.04762298959318827,0.06865,0.021027010406811736
MentHlth,0.14273099968464206,0.2912,0.14846900031535795
PhysHlth,0.161419899085462,0.2914,0.129980100914538
DiffWalk,0.16822374645222327,0.297,0.12877625354777672
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
