feature,ks_statistic,p_value
HighBP,0.029648896247240653,1.4002453069502456e-14
HighChol,0.08302093976663516,2.0721437504460042e-111
CholCheck,0.011619504888047937,0.013397197606247298
BMI,0.08467767265846732,6.961347891088683e-116
Smoker,0.01666855881425422,6.716728516538809e-05
Stroke,0.010770797855566006,0.02710201656113734
Diabetes,0.00503830022075058,0.7344065014323696
PhysActivity,0.12019367707347836,4.776043298326305e-233
Fruits,0.024405755282245367,5.126860091596534e-10
Veggies,0.112819899085462,2.217465939026287e-205
HvyAlcoholConsump,0.02230321665089874,1.9553079128090806e-08
AnyHealthcare,0.022102507095553454,2.721004279569759e-08
NoDocbcCost,0.008423084200567699,0.14402477024235436
GenHlth,0.13653431094292023,1.3440324689466652e-300
MentHlth,0.06388259224219495,3.871174647471874e-66
PhysHlth,0.08156204667297384,1.5230802958314436e-107
DiffWalk,0.03992625354777668,4.28832426592964e-26
Sex,0.005542163355408469,0.6194310714695681
Age,0.023305502995900396,3.590306445493105e-09
Education,0.06647237464522227,1.4185895712893042e-71
Income,0.0799453327026175,2.438989739550821e-103
