feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.03141359192683696,0.005916903185115105
BMI,0.03881661936297698,0.02099101229895932,0.01782560706401766
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.03567092399873857,0.004899873856827497
Diabetes,0.15758830022075054,0.3166114790286976,0.15902317880794703
PhysActivity,0.2434563229265216,0.4185036266162094,0.17504730368968777
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.11741169977924945,0.07116840113528855
HvyAlcoholConsump,0.05619678334910123,0.14927861873226111,0.0930818353831599
AnyHealthcare,0.04894749290444655,0.21428571428571427,0.16533822138126772
NoDocbcCost,0.08417691579943236,0.13130321665089878,0.04712630085146642
GenHlth,0.04762298959318827,0.043432671081677705,0.0041903185115105615
MentHlth,0.14273099968464206,0.0918125197098707,0.05091847997477136
PhysHlth,0.161419899085462,0.1923841059602649,0.03096420687480289
DiffWalk,0.16822374645222327,0.3396838536739199,0.17146010722169663
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
