feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.04165484074424472,0.004324345632292656
BMI,0.03881661936297698,0.013517029328287607,0.025299590034689373
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.0375551876379691,0.00301561021759697
Diabetes,0.15758830022075054,0.16214916430148218,0.004560864080731641
PhysActivity,0.2434563229265216,0.3448951434878587,0.1014388205613371
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.1922264269946389,0.0036463260801009034
HvyAlcoholConsump,0.05619678334910123,0.15782876064333018,0.10163197729422896
AnyHealthcare,0.04894749290444655,0.0771365499842321,0.02818905707978555
NoDocbcCost,0.08417691579943236,0.09996452223273415,0.015787606433301793
GenHlth,0.04762298959318827,0.0700843582466099,0.02246136865342163
MentHlth,0.14273099968464206,0.14841926836959948,0.0056882686849574204
PhysHlth,0.161419899085462,0.05582623777988016,0.10559366130558184
DiffWalk,0.16822374645222327,0.3225914538000631,0.15436770734783983
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
