feature,ks_statistic,p_value
HighBP,0.026131346578366466,1.1262755387101241e-75
HighChol,0.05776174708293913,0.0
CholCheck,0.03843030589719332,3.351577985850445e-163
BMI,0.31046594134342476,0.0
Smoker,0.13275780510879853,0.0
Stroke,0.02957663197729421,7.9085002083711e-97
Diabetes,0.06192447177546512,0.0
PhysActivity,0.00020892462945443224,1.0
Fruits,0.08441737622201201,0.0
Veggies,0.032832702617470844,3.158919043309343e-119
HvyAlcoholConsump,0.018862346263008534,1.2436907635141025e-39
AnyHealthcare,0.03760643330179753,2.701367309880227e-156
NoDocbcCost,0.04874251024913279,2.5073645870947718e-262
GenHlth,0.12275701671397038,0.0
MentHlth,0.14399637338379068,0.0
PhysHlth,0.13301403342794071,0.0
DiffWalk,0.017518133081046994,3.045312193139201e-34
Sex,0.20732418795332697,0.0
Age,0.06428965625985494,0.0
Education,0.040294859665720606,2.1966230357786508e-179
Income,0.0889861242510249,0.0
