feature,ks_statistic,p_value
HighBP,0.0603871018606118,0.0
HighChol,0.05376458530432038,6.83876e-319
CholCheck,0.005916903185115105,0.0002779346621038627
BMI,0.039841532639545874,2.63048454438254e-175
Smoker,0.11041075370545567,0.0
Stroke,0.004899873856827441,0.004528357286867722
Diabetes,0.15902317880794703,0.0
PhysActivity,0.17504730368968777,0.0
Fruits,0.01999763481551564,1.7487300751872108e-44
Veggies,0.07116840113528855,0.0
HvyAlcoholConsump,0.09308183538315984,0.0
AnyHealthcare,0.16533822138126772,0.0
NoDocbcCost,0.04712630085146641,4.185257723912888e-245
GenHlth,0.07719173762220122,0.0
MentHlth,0.10899164301482189,0.0
PhysHlth,0.047961999369284136,7.360401441735295e-254
DiffWalk,0.17146010722169658,0.0
Sex,0.035418637653736984,1.2379177012991267e-138
Age,0.08775228634500154,0.0
Education,0.06638678650268054,0.0
Income,0.18958924629454432,0.0
