feature,ks_statistic,p_value
0,0.11294941264816827,1.8330056414805126e-206
1,0.13541926789944858,5.849822403108379e-297
2,0.006969652043314241,0.32727585113403523
3,0.07207024905294446,3.5408297578121085e-84
4,0.15431681186214175,0.0
5,0.016129362072839437,0.00012798411786500144
6,0.02886232098580499,7.532217800554809e-14
7,0.10260536323177533,2.269081459124287e-170
8,0.08440719703091676,2.3789587530687117e-115
9,0.05422935753958713,7.980690248709926e-48
10,0.0032965618237077443,0.9873927081236059
11,0.006202700044544131,0.4718050730351063
12,0.020526583977515056,3.237026122337303e-07
13,0.16768616471079822,0.0
14,0.11822277092095979,3.2726050760489602e-226
15,0.06976240140176049,6.794386009218511e-79
16,0.13362691667882098,3.9417842386891177e-289
17,0.07925957245517007,9.641192025371784e-102
18,0.039849133951695204,5.1486268872923663e-26
19,0.13310697470445165,7.028102847437171e-287
20,0.06715607179883398,3.898488041208531e-73
