feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.03733034795668576,0.0443,0.006969652043314241
3,0.0388164663494704,0.0537,0.0148835336505296
4,0.0,0.0,0.0
5,0.04057063792716049,0.0567,0.016129362072839513
6,0.157587679014195,0.18645,0.028862320985805018
7,0.24345536323177533,0.14085,0.10260536323177533
8,0.0,0.0,0.0
9,0.18857935753958713,0.13435,0.05422935753958713
10,0.056196561823707726,0.0529,0.0032965618237077235
11,0.04894729995545587,0.05515,0.006202700044544131
12,0.08417658397751507,0.06365,0.02052658397751507
13,0.04762280186533481,0.06645,0.018827198134665185
14,0.14273043704495014,0.104,0.03873043704495015
15,0.16141926277490234,0.1946,0.03318073722509765
16,0.16822308332117897,0.30185,0.13362691667882104
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
