feature,ks_statistic,p_value
HighBP,0.02218543046357624,1.1890320267672534e-54
HighChol,0.022914695679596364,2.8290941970875478e-58
CholCheck,0.004623935666982028,0.00882003498359648
BMI,0.022914695679596336,2.829094197088593e-58
Smoker,0.04546672973825283,3.558316651010952e-228
Stroke,0.001186534216335522,0.9940735536558948
Diabetes,0.05537291075370543,0.0
PhysActivity,0.029158782718385373,4.2572787032382164e-94
Fruits,0.03152396720277517,6.555744507366374e-110
Veggies,0.005305897193314424,0.0015827515770578434
HvyAlcoholConsump,0.006535793125197031,3.9342790248584605e-05
AnyHealthcare,0.01262220119836014,5.60349560009789e-18
NoDocbcCost,0.040957111321349826,3.086391952109462e-185
GenHlth,0.13254099653106277,0.0
MentHlth,0.19607379375591294,0.0
PhysHlth,0.339108325449385,0.0
DiffWalk,0.1023651844843898,0.0
Sex,0.03005755282245348,5.828829502455681e-100
Age,0.017462945443077915,5.054060752256288e-34
Education,0.02894197414064964,1.0397721424622482e-92
Income,0.07909176915799432,0.0
