feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.04063781141595711,0.003307316304005048
BMI,0.03881661936297698,0.05352806685588143,0.014711447492904449
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.047658467360454114,0.007087669504888046
Diabetes,0.15758830022075054,0.17646641438032168,0.018878114159571135
PhysActivity,0.2434563229265216,0.26777041942604857,0.024314096499526955
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.1965310627562283,0.007950961841690307
HvyAlcoholConsump,0.05619678334910123,0.07153106275622832,0.015334279407127095
AnyHealthcare,0.04894749290444655,0.06747871333964049,0.018531220435193944
NoDocbcCost,0.08417691579943236,0.14315673289183223,0.05897981709239987
GenHlth,0.04762298959318827,0.07446389151687165,0.02684090192368338
MentHlth,0.14273099968464206,0.4016516871649322,0.2589206874802902
PhysHlth,0.161419899085462,0.2332426679280984,0.07182276884263639
DiffWalk,0.16822374645222327,0.22983286029643646,0.06160911384421319
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
