feature,ks_statistic,p_value
HighBP,0.001440572549844088,0.9640413859186068
HighChol,0.0009946914748238944,0.9997672586277303
CholCheck,0.00021023862083464906,1.0
BMI,0.0019061634955674922,0.7743925990154884
Smoker,0.0007721889344405319,0.9999996691747481
Stroke,0.000805038718945994,0.9999987519735002
Diabetes,0.00310233364869128,0.19732249142614955
PhysActivity,0.00017081887942815843,1.0
Fruits,0.0024431479729492556,0.46929323899750386
Veggies,0.0004033953537264934,1.0
HvyAlcoholConsump,0.000541364448649162,0.9999999999999902
AnyHealthcare,8.453344546059671e-05,1.0
NoDocbcCost,0.00106608500648242,0.9991723550184406
GenHlth,0.0008641683310557369,0.9999906612991153
MentHlth,0.30661988857353095,0.0
PhysHlth,0.3655532779704965,0.0
DiffWalk,0.0009482637793896131,0.9999134161037033
Sex,0.001864115771400443,0.7971514589531487
Age,0.0018439679035705536,0.8077981213547629
Education,0.001666579067241325,0.8917727041265295
Income,0.000755545043624517,0.9999998423268471
