feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.037120256491117415,0.00021023862083464906
BMI,0.03881661936297698,0.0397526192228179,0.0009359998598409205
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.03976575913662007,0.0008050387189460009
Diabetes,0.15758830022075054,0.1544859665720593,0.0031023336486912523
PhysActivity,0.2434563229265216,0.24328550404709345,0.00017081887942815843
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.1881767055608115,0.0004033953537264934
HvyAlcoholConsump,0.05619678334910123,0.056738147797750445,0.0005413644486492175
AnyHealthcare,0.04894749290444655,0.04886295945898595,8.453344546059671e-05
NoDocbcCost,0.08417691579943236,0.08524300080591471,0.0010660850064823507
GenHlth,0.04762298959318827,0.04810084445846035,0.00047785486527208293
MentHlth,0.14273099968464206,0.00011387925295210063,0.14261712043168998
PhysHlth,0.161419899085462,0.0004073373278671292,0.16101256175759487
DiffWalk,0.16822374645222327,0.16727548267283365,0.0009482637793896131
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
