feature,ks_statistic,p_value
HighBP,0.0045722520060268446,0.013113811751048957
HighChol,0.0034825151547005495,0.10817423582810215
CholCheck,7.883948281299513e-05,1.0
BMI,0.006087722064543222,0.00026985914791980765
Smoker,0.00234197063667263,0.5242390563951855
Stroke,0.0005816601843091629,0.999999999999052
Diabetes,0.00473781491993408,0.009053131606642532
PhysActivity,0.0015592697711902803,0.9315708484504966
Fruits,0.003962998002733087,0.04577811553781219
Veggies,0.005580521391779669,0.0011194045750579976
HvyAlcoholConsump,0.0003267458565471282,1.0
AnyHealthcare,0.0006118819860541705,0.9999999999835631
NoDocbcCost,0.0017756403517993347,0.8424146530645477
GenHlth,0.00635402431760046,0.00012168551906189611
MentHlth,0.015943095413294084,5.823231766408765e-27
PhysHlth,0.00862766740250176,3.382459807694114e-08
DiffWalk,0.004938417603980505,0.005677310151783677
Sex,0.003869266617611,0.05461414427080946
Age,0.0030764918182136503,0.20502106519298735
Education,0.002380514383825645,0.5029847034394548
Income,0.005236693647289681,0.0027370429215738006
