feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.03740933459476506,7.883948281299513e-05
BMI,0.03881661936297698,0.04087389186726935,0.0020572725042923706
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.03998913767125688,0.0005816601843091906
Diabetes,0.15758830022075054,0.16232611514068468,0.004737814919934136
PhysActivity,0.2434563229265216,0.2450155926977119,0.0015592697711902803
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.18299957952275833,0.005580521391779669
HvyAlcoholConsump,0.05619678334910123,0.05652352920564841,0.0003267458565471837
AnyHealthcare,0.04894749290444655,0.04955937489050072,0.0006118819860541705
NoDocbcCost,0.08417691579943236,0.08595255615123165,0.001775640351799293
GenHlth,0.04762298959318827,0.04801762500437997,0.00039463541119170303
MentHlth,0.14273099968464206,0.14936140018921476,0.006630400504572698
PhysHlth,0.161419899085462,0.16869459336346754,0.0072746942780055335
DiffWalk,0.16822374645222327,0.1731621640562038,0.004938417603980533
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
