feature,ks_statistic,p_value
0,0.05829867067640504,0.0
1,0.17768440426846205,0.0
2,0.5741881004822925,0.0
3,0.03317447608273069,2.489515788404829e-115
4,0.17445995457912555,0.0
5,0.33688214598257704,0.0
6,0.44768055042621985,0.0
7,0.29919679697005375,0.0
8,0.08496500038772675,0.0
9,0.18776967361076854,0.0
10,0.40759421570879173,0.0
11,0.6109260312754913,0.0
12,0.272694714946764,0.0
13,0.10603146073527203,0.0
14,0.05609112409988881,0.0
15,0.05094472374648662,1.753794936439291e-271
16,0.3831714995303575,0.0
17,0.06466153199838476,0.0
18,0.1300052413836305,0.0
19,0.43808712895778906,0.0
20,0.2971023248938248,0.0
