feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.03984897859070045,0.002518483478748383
BMI,0.03881661936297698,0.030397000595676092,0.008419618767300886
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.043085777357300535,0.002514979501734467
Diabetes,0.15758830022075054,0.15271207820876695,0.004876222011983594
PhysActivity,0.2434563229265216,0.2604987911279302,0.01704246820140856
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.18408581239707067,0.004494288517467332
HvyAlcoholConsump,0.05619678334910123,0.04922649707417919,0.006970286274922036
AnyHealthcare,0.04894749290444655,0.04478082623777988,0.004166666666666666
NoDocbcCost,0.08417691579943236,0.09343354707593118,0.009256631276498825
GenHlth,0.04762298959318827,0.04917393741897053,0.001550947825782266
MentHlth,0.14273099968464206,0.1538333508532184,0.01110235116857633
PhysHlth,0.161419899085462,0.18356021584498405,0.02214031675952205
DiffWalk,0.16822374645222327,0.17617120431689967,0.007947457864676405
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
