feature,ks_statistic,p_value
0,0.016461185130310252,1.0293495098022636e-28
1,0.0009744634856735379,0.9998459927707882
2,0.002912533737547039,0.2593288553465616
3,0.02014705156112334,8.433663955881559e-43
4,0.03069351961408373,8.762458928075553e-99
5,0.0006209199973101764,0.9999999999644088
6,0.003962671253468275,0.04580662484172582
7,0.005364505107804618,0.0019761606272027774
8,0.01155642643171334,2.281191386026549e-14
9,0.02671313938197825,6.335914763529965e-75
10,0.0015695601768385137,0.9281723389182562
11,0.007258733432452258,6.302843897143176e-06
12,0.0005933799315217536,0.99999999999698
13,0.005598143056220306,0.0010676320762372249
14,0.012069988763210748,1.2345570716466095e-15
15,0.02725345916118238,5.717865390888978e-78
16,0.0019344204455963299,0.7587430983884184
17,0.004629613451701098,0.011551022069928208
18,0.017161793200622666,3.575912123226745e-31
19,0.008265528033409408,1.4719027461334685e-07
20,0.010441965385783236,8.269243419147692e-12
