feature,ks_statistic,p_value
HighBP,0.022513490311503515,2.4342988975157636e-53
HighChol,0.006364536248642194,0.00011783689631659099
CholCheck,0.002518483478748383,0.4303328090041004
BMI,0.014134605276989398,2.777472269761903e-21
Smoker,0.0077100634219838815,1.2423920530369883e-06
Stroke,0.0025149795017345156,0.43210437216506836
Diabetes,0.004876222011983566,0.006574661517961801
PhysActivity,0.01704246820140856,9.538210772033151e-31
Fruits,0.016923332982935635,2.5229175156267427e-30
Veggies,0.004494288517467332,0.015542796158711528
HvyAlcoholConsump,0.006970286274922133,1.690478491890808e-05
AnyHealthcare,0.004166666666666666,0.030745742966793776
NoDocbcCost,0.009256631276498895,2.2644446711081052e-09
GenHlth,0.020190353551280737,5.54196314667663e-43
MentHlth,0.02441045586740953,1.238761082890941e-62
PhysHlth,0.03655567819475114,5.937555735408744e-140
DiffWalk,0.007947457864676433,5.084219366356054e-07
Sex,0.008192298258523523,1.9665032388982093e-07
Age,0.012421598514313743,1.557915604349438e-16
Education,0.024560688881880954,2.1128031355163108e-63
Income,0.02047417568940746,3.457327268605684e-44
