feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.03733034795668576,0.04115,0.003819652043314241
3,0.0388164663494704,0.0647,0.025883533650529596
4,0.0,0.0,0.0
5,0.04057063792716049,0.06855,0.027979362072839513
6,0.157587679014195,0.1977,0.040112320985805
7,0.24345536323177533,0.35905,0.11559463676822465
8,0.0,0.0,0.0
9,0.18857935753958713,0.2696,0.08102064246041288
10,0.056196561823707726,0.0843,0.028103438176292274
11,0.04894729995545587,0.09395,0.04500270004454414
12,0.08417658397751507,0.15915,0.07497341602248495
13,0.04762280186533481,0.1313,0.08367719813466519
14,0.14273043704495014,0.32015,0.17741956295504985
15,0.16141926277490234,0.386,0.22458073722509767
16,0.16822308332117897,0.34515,0.17692691667882104
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
