feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
age,0.0,0.0,0.0
symptom_1,0.0,0.0,0.0
symptom_2,0.13055555555555556,0.12958333333333333,0.0009722222222222354
symptom_3,0.015416666666666667,0.021388888888888888,0.005972222222222221
symptom_4,0.012777777777777779,0.008472222222222223,0.0043055555555555555
symptom_5,0.03833333333333333,0.04986111111111111,0.011527777777777783
symptom_6,0.010833333333333334,0.010277777777777778,0.0005555555555555557
symptom_7,0.014027777777777778,0.00625,0.0077777777777777776
symptom_8,0.016805555555555556,0.026805555555555555,0.009999999999999998
symptom_9,0.06555555555555556,0.07541666666666667,0.009861111111111112
symptom_10,0.06875,0.06902777777777777,0.0002777777777777657
symptom_11,0.012638888888888889,0.004722222222222222,0.007916666666666666
symptom_12,0.008194444444444445,0.004027777777777778,0.0041666666666666675
symptom_13,0.025555555555555557,0.03625,0.01069444444444444
symptom_14,0.0001388888888888889,0.0,0.0001388888888888889
symptom_15,0.04888888888888889,0.06833333333333333,0.019444444444444438
TSH,0.10555555555555556,0.15097222222222223,0.045416666666666675
T3,0.11416666666666667,0.12347222222222222,0.009305555555555553
T4,0.05402777777777778,0.07875,0.024722222222222222
T3_uptake,0.06875,0.04513888888888889,0.023611111111111117
FTI,0.06236111111111111,0.06430555555555556,0.00194444444444445
