feature,ks_statistic,p_value
age,0.05,3.026999671588941e-08
symptom_1,0.021111111111111112,0.08079639063371329
symptom_2,0.02861111111111111,0.005510297499483639
symptom_3,0.009583333333333333,0.8955869538674207
symptom_4,0.01638888888888889,0.288310237609931
symptom_5,0.016944444444444446,0.2525726607031985
symptom_6,0.010416666666666666,0.8295894592113864
symptom_7,0.0016666666666666668,0.9999999999999996
symptom_8,0.003611111111111111,0.9999999999560364
symptom_9,0.018333333333333333,0.17772415846935122
symptom_10,0.017083333333333332,0.24417059172321776
symptom_11,0.005277777777777778,0.9999641968538251
symptom_12,0.004583333333333333,0.9999992548048436
symptom_13,0.012083333333333333,0.669351577765166
symptom_14,0.0001388888888888889,0.9999999999999991
symptom_15,0.018472222222222223,0.17131414807183323
TSH,0.21888888888888888,1.8780858561146208e-151
T3,0.2625,2.0271025778640771e-218
T4,0.07944444444444444,3.5179219932467017e-20
T3_uptake,0.14847222222222223,1.3198642913200037e-69
FTI,0.08916666666666667,2.5616895662176215e-25
