feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0.73,0.14,0.20380241719609582,0.0638024171960958,0.2,0.21429747105069416,0.01429747105069415,0.8,0.6801723771041162,0.11982762289588389,0.87,0.6858220524388653,0.1841779475611347
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0006,1e-05,0.00023047470840923098,0.00022047470840923098,4e-05,0.0006139970723969301,0.0005739970723969301,0.012,0.03885211722135833,0.026852117221358333,0.073,0.1317377079958915,0.058737707995891494
0.015,0.003,0.009413186123268127,0.006413186123268127,0.009,0.011548701560625395,0.0025487015606253955,0.031,0.03954419218443562,0.008544192184435619,0.045,0.05666777862673502,0.011667778626735022
0.12.1,0.022,0.032903572463738484,0.010903572463738485,0.061,0.05787947924860952,0.0031205207513904792,0.17,0.17247165814564375,0.0024716581456437348,0.22201999999999952,0.2038981297702653,0.018121870229734216
0.082,0.057,0.07099189981167851,0.013991899811678511,0.071,0.07824077043200735,0.007240770432007354,0.131,0.1381753433550299,0.007175343355029895,0.168,0.15993713436384976,0.008062865636150246
0.146,0.021980000000000003,0.025574813024735243,0.0035948130247352404,0.068,0.07106197664240446,0.003061976642404457,0.17,0.17076411989059345,0.0007641198905934399,0.22601999999999953,0.25788418809205427,0.03186418809205474
