feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
age,0.14,0.038889999999999994,0.10111000000000002,0.2,0.131095,0.06890500000000002,0.8,0.8501099999999998,0.050109999999999766,0.87,0.9357,0.06569999999999998
symptom_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
symptom_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
symptom_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symptom_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
TSH,1e-05,0.0,1e-05,4e-05,0.0,4e-05,0.012,0.0037,0.0083,0.073,0.019020600000000012,0.05397939999999998
T3,0.003,0.0019989999999999995,0.0010010000000000006,0.009,0.0104,0.0014000000000000002,0.031,0.0404,0.009399999999999999,0.045,0.05850300000000007,0.01350300000000007
T4,0.022,0.0290976,0.0070976000000000025,0.061,0.05436800000000001,0.006631999999999992,0.17,0.18286299999999994,0.01286299999999993,0.22201000000000023,0.22242630000000013,0.0004162999999998973
T3_uptake,0.057,0.035,0.022,0.071,0.055,0.015999999999999993,0.131,0.118,0.013000000000000012,0.168,0.155,0.013000000000000012
FTI,0.021989999999999992,0.006418499999999994,0.015571499999999999,0.068,0.05203800000000001,0.015961999999999997,0.17,0.18399399999999994,0.013993999999999923,0.22601000000000024,0.24348570000000033,0.017475700000000094
