feature,ks_statistic,p_value
0.73,0.09841108332947478,1.0
0,0.07815217391304348,1.0
1,0.06404589371980676,1.0
0.1,0.027358969609976694,1.0
0.2,0.014026002839900603,1.0
0.3,0.031661341853035145,1.0
0.4,0.014859606272476115,1.0
0.5,0.0176369403157846,1.0
1.1,0.008608795974749579,1.0
0.6,0.030425772869688693,1.0
0.7,0.01625954993749132,1.0
0.8,0.020831577688259172,1.0
0.9,0.02694330616906669,1.0
0.10,0.01624645012424565,1.0
0.11,0.006111091818308098,1.0
0.12,0.007090124399993826,1.0
0.0006,0.3493900001543424,1.0
0.015,0.3406579810467503,1.0
0.12.1,0.11770160979148339,1.0
0.082,0.19063276535321264,1.0
0.146,0.10059821194301678,1.0
