feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0.73,0.14,0.174599,0.03459899999999999,0.2,0.2269,0.02689999999999998,0.8,0.7934,0.00660000000000005,0.87,0.852701,0.017298999999999953
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0006,1e-05,0.0,1e-05,4e-05,0.0007,0.00066,0.012,0.021791499999999978,0.009791499999999977,0.073,0.053932700000000056,0.01906729999999994
0.015,0.003,0.0097,0.0067,0.009,0.014595000000000006,0.005595000000000006,0.031,0.0299,0.0011000000000000003,0.045,0.052402000000000046,0.007402000000000047
0.12.1,0.022,0.0288388,0.0068388000000000025,0.061,0.06148,0.00048000000000000126,0.17,0.15654449999999995,0.013455500000000065,0.22201999999999952,0.2040002,0.01801979999999953
0.082,0.057,0.059,0.001999999999999995,0.071,0.069,0.001999999999999988,0.131,0.118,0.013000000000000012,0.168,0.147,0.02100000000000002
0.146,0.021980000000000003,0.0420597,0.020079699999999995,0.068,0.078718,0.010717999999999991,0.17,0.14955449999999992,0.02044550000000009,0.22601999999999953,0.20155300000000007,0.02446699999999946
