feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0.73,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.13043478260869565,0.06638888888888889,0.06404589371980676
0.1,0.015418808167801083,0.042777777777777776,0.02735896960997669
0.2,0.012779552715654952,0.026805555555555555,0.014026002839900603
0.3,0.038338658146964855,0.07,0.03166134185303515
0.4,0.01083483817196833,0.025694444444444443,0.014859606272476114
0.5,0.014029726350882068,0.03166666666666667,0.017636940315784604
1.1,0.0166689818030282,0.025277777777777777,0.008608795974749579
0.6,0.06556466175857759,0.035138888888888886,0.0304257728696887
0.7,0.06875954993749132,0.0525,0.016259549937491326
0.8,0.01264064453396305,0.03347222222222222,0.020831577688259172
0.9,0.008195582719822198,0.035138888888888886,0.026943306169066688
0.10,0.025559105431309903,0.041805555555555554,0.01624645012424565
0.11,0.00013890818169190166,0.00625,0.006111091818308098
0.12,0.04889567995554938,0.041805555555555554,0.007090124399993826
0.0006,0.10557021808584525,0.10583333333333333,0.0002631152474880799
0.015,0.11418252535074316,0.06166666666666667,0.052515858684076495
0.12.1,0.05403528267814974,0.03611111111111111,0.017924171567038634
0.082,0.06875954993749132,0.04041666666666666,0.02834288327082466
0.146,0.06236977357966384,0.029166666666666667,0.033203106912997174
