feature,ks_statistic,p_value
age,0.11166666666666666,1.703556414395839e-39
symptom_1,0.03013888888888889,0.0028870275517902185
symptom_2,0.01611111111111111,0.30747254734029805
symptom_3,0.017638888888888888,0.2126393990714173
symptom_4,0.03319444444444444,0.000716428995672249
symptom_5,0.007916666666666667,0.977745715673304
symptom_6,0.03902777777777778,3.4461010947444876e-05
symptom_7,0.029861111111111113,0.003255204572939236
symptom_8,0.029861111111111113,0.003255204572939236
symptom_9,0.024444444444444446,0.02707330145892053
symptom_10,0.042222222222222223,5.313112816067673e-06
symptom_11,0.03180555555555555,0.0013726014168453896
symptom_12,0.03333333333333333,0.000670304064370342
symptom_13,0.01902777777777778,0.147484019442059
symptom_14,0.0001388888888888889,0.9999999999999991
symptom_15,0.03625,0.0001553983731608222
TSH,0.13208333333333333,3.9159902707159e-55
T3,0.1763888888888889,3.228676825855589e-98
T4,0.06625,3.6955537889284416e-14
T3_uptake,0.05,3.026999671588941e-08
FTI,0.04861111111111111,8.120687410141512e-08
