feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
age,0.14,0.23143884432404357,0.09143884432404356,0.2,0.26416269488622973,0.06416269488622972,0.8,0.7931276383719511,0.00687236162804894,0.87,0.8229901585034778,0.04700984149652221
symptom_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
symptom_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
symptom_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
symptom_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symptom_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
TSH,1e-05,4.697237762261827e-05,3.697237762261827e-05,4e-05,0.000226178673406935,0.000186178673406935,0.012,0.04493561841608657,0.03293561841608657,0.073,0.1606434384652614,0.08764343846526142
T3,0.003,0.006506811890121548,0.003506811890121548,0.009,0.00975228847152902,0.000752288471529021,0.031,0.03348738449587216,0.002487384495872158,0.045,0.04956383482851796,0.004563834828517958
T4,0.022,0.02457943630781287,0.00257943630781287,0.061,0.06414242968952635,0.003142429689526355,0.17,0.17728965800332463,0.007289658003324623,0.22201000000000023,0.22412892869165946,0.002118928691659222
T3_uptake,0.057,0.06117440124414677,0.0041744012441467665,0.071,0.07130957349693211,0.000309573496932114,0.131,0.13034946989407528,0.0006505301059247237,0.168,0.17749162842715324,0.009491628427153231
FTI,0.021989999999999992,0.01948858023122629,0.002501419768773702,0.068,0.0678974067040684,0.0001025932959316106,0.17,0.17971719262759703,0.009717192627597016,0.22601000000000024,0.25715906973165564,0.031149069731655404
