feature,ks_statistic,p_value
0.73,0.22887677300859688,1.0
0,0.019818840579710145,1.0
1,0.03928743961352657,1.0
0.1,0.018470080721087804,1.0
0.2,0.008331558395456158,1.0
0.3,0.027494675186368476,1.0
0.4,0.04152627293914278,1.0
0.5,0.029303606982451266,1.0
1.1,0.033053240419194024,1.0
0.6,0.03082422713031131,1.0
0.7,0.04290711672917535,1.0
0.8,0.032637133243814724,1.0
0.9,0.005693306169066692,1.0
0.10,0.02388533901313454,1.0
0.11,0.00013890818169190166,1.0
0.12,0.034159875600006176,1.0
0.0006,0.24022333348767574,1.0
0.015,0.20246353660230587,1.0
0.12.1,0.03789959253600037,1.0
0.082,0.03869707984133599,1.0
0.146,0.18172222993934342,1.0
