feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0.73,0.14,0.3107365411684975,0.1707365411684975,0.2,0.31813842911530726,0.11813842911530725,0.8,0.7982995620658133,0.001700437934186727,0.87,0.8075827635395835,0.062417236460416525
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0006,1e-05,0.000234081044925395,0.000224081044925395,4e-05,0.000612454145890415,0.000572454145890415,0.012,0.022374090112778466,0.010374090112778466,0.073,0.11928797436099953,0.04628797436099953
0.015,0.003,0.006244760745739191,0.003244760745739191,0.009,0.009971629289918434,0.0009716292899184346,0.031,0.03600487522904944,0.005004875229049438,0.045,0.05846405376289283,0.013464053762892829
0.12.1,0.022,0.034600501532304546,0.012600501532304548,0.061,0.057458832734859876,0.003541167265140123,0.17,0.17896935225184804,0.008969352251848028,0.22201999999999952,0.23135494026002276,0.009334940260023239
0.082,0.057,0.0590000034083538,0.0020000034083537954,0.071,0.07108116401342451,8.116401342452007e-05,0.131,0.12891058964723895,0.0020894103527610564,0.168,0.17627555264938116,0.008275552649381152
0.146,0.021980000000000003,0.0537435605855162,0.0317635605855162,0.068,0.08652088172066819,0.01852088172066818,0.17,0.20001456145011073,0.03001456145011072,0.22601999999999953,0.29625415785696474,0.07023415785696521
