feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0.73,0.14,0.13238094020000002,0.007619059799999994,0.2,0.20107285300000002,0.0010728530000000125,0.8,0.79,0.010000000000000009,0.87,0.8636254415,0.006374558500000016
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0006,1e-05,6.090151000000014e-06,3.9098489999999866e-06,4e-05,4e-05,0.0,0.012,0.009559214399999983,0.0024407856000000176,0.073,0.07019271360000003,0.0028072863999999698
0.015,0.003,0.002795278383,0.00020472161699999986,0.009,0.009,0.0,0.031,0.02977018824999995,0.001229811750000049,0.045,0.04192101082000001,0.0030789891799999913
0.12,0.022,0.025320687040000005,0.003320687040000006,0.061,0.062021879200000005,0.001021879200000006,0.17,0.1672401339999999,0.0027598660000001107,0.22201999999999952,0.2231179643,0.0010979643000004757
0.082,0.057,0.05725091192,0.0002509119199999993,0.071,0.0702553887,0.0007446112999999893,0.131,0.1286028115,0.002397188500000008,0.168,0.16220899490000001,0.005791005099999996
0.146,0.021980000000000003,0.024062666850000004,0.0020826668500000013,0.068,0.0694488297,0.001448829700000001,0.17,0.16706062099999983,0.0029393790000001863,0.22601999999999953,0.22476436710000006,0.0012556328999994704
