feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0.73,0.14,0.10459496450000001,0.0354050355,0.2,0.21,0.009999999999999981,0.8,0.8,0.0,0.87,0.878992145,0.008992145000000007
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0006,1e-05,0.0,1e-05,4e-05,3.778195585000002e-05,2.2180441499999856e-06,0.012,0.007835288599999973,0.004164711400000028,0.073,0.03056173445000005,0.042438265549999944
0.015,0.003,0.002832726254,0.00016727374599999996,0.009,0.01,0.0010000000000000009,0.031,0.03033389284999997,0.0006661071500000289,0.045,0.04350835079000001,0.0014916492099999873
0.12,0.022,0.04072622855,0.01872622855,0.061,0.068164021,0.0071640210000000065,0.17,0.17193766800000002,0.0019376680000000035,0.22201999999999952,0.2214262458,0.0005937541999995188
0.082,0.057,0.06053195527,0.003531955269999998,0.071,0.072,0.0010000000000000009,0.131,0.12999544249999992,0.0010045575000000861,0.168,0.16117344360000005,0.006826556399999961
0.146,0.021980000000000003,0.03552662577,0.013546625769999997,0.068,0.073067469,0.005067468999999991,0.17,0.17593929349999976,0.005939293499999748,0.22601999999999953,0.2261083269,8.832690000046273e-05
