feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
0,0.14,0.01,0.13,0.2,0.03355000000000001,0.16645,0.79,0.7104499999999998,0.07955000000000023,0.87,0.8274499999999998,0.0425500000000002
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
16,0.0,0.0,0.0,3e-05,0.0,3e-05,0.012,0.07243149999999995,0.06043149999999996,0.07657999999999993,0.2523137,0.17573370000000005
17,0.003,0.0005,0.0025,0.009,0.0006,0.0084,0.031,0.0252,0.0058,0.04528999999999996,0.032228999999999994,0.013060999999999968
18,0.02271,0.0636682,0.04095819999999999,0.063,0.0881045,0.025104500000000002,0.16644999999999982,0.24043249999999997,0.07398250000000015,0.21757999999999994,0.3135399,0.09595990000000004
19,0.06,0.047,0.012999999999999998,0.074,0.06,0.013999999999999999,0.131,0.124,0.007000000000000006,0.168,0.16328999999999996,0.0047100000000000475
20,0.020710000000000003,0.0448067,0.024096699999999995,0.068,0.0785475,0.010547500000000001,0.164,0.21254299999999998,0.048542999999999975,0.21628999999999995,0.28327389999999997,0.06698390000000001
